Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct,Status
1789434743,204889000,32,0,1,0,0.00,0.75,OK
1789434744,204892866,36,0,0,0,0.00,1.25,OK
1789434745,204885951,51,0,0,0,0.00,1.01,OK
1789434746,204882161,45,0,0,0,0.00,1.01,OK
1789434747,204883423,24,0,0,0,0.00,0.75,OK
1789434748,204880258,36,0,0,0,0.00,1.01,OK
1789434749,204890635,34,0,0,0,0.00,1.25,OK
1789434750,204885803,39,1,1,0,0.00,0.51,OK
1789434751,204876023,50,0,0,0,0.00,0.51,OK
1789434752,204885671,34,0,0,0,0.00,0.50,OK
1789434753,204894277,38,0,0,0,0.00,1.00,OK
1789434754,204934237,39,1,1,0,0.00,0.76,OK
1789434755,204937374,59,1,1,0,0.00,1.01,OK
1789434756,204892490,34,0,0,0,0.00,0.76,OK
1789434757,204891564,29,1,1,0,0.00,0.25,OK
1789434758,204883035,52,0,0,0,0.00,0.76,OK
1789434759,204884297,38,0,0,0,0.00,0.75,OK
1789434760,204880767,36,0,0,0,0.00,0.51,OK
1789434761,204930363,33,0,0,0,0.00,0.25,OK
1789434762,204874645,34,0,0,0,0.00,0.75,OK
1789434763,204886480,30,3,3,0,0.00,1.00,OK
1789434764,204900295,37,0,0,0,0.00,0.50,OK
1789434765,204878848,45,0,0,0,0.00,0.50,OK
1789434766,204884694,27,3,3,0,0.00,0.50,OK
1789434767,204883716,43,0,0,0,0.00,0.76,OK
1789434768,204880186,38,2,2,0,0.00,0.51,OK
1789434769,204881449,46,0,0,0,0.00,0.76,OK
1789434770,204883388,30,0,0,0,0.00,0.75,OK
1789434771,204897150,33,0,1,0,0.00,0.25,OK
1789434772,204898620,27,0,0,0,0.00,0.75,OK
1789434773,204889205,45,0,0,0,0.00,0.76,OK
1789434774,204884373,37,0,0,0,0.00,0.76,OK
1789434775,204884177,41,0,0,0,0.00,0.25,OK
1789434776,204881689,34,0,0,0,0.00,1.25,OK
1789434777,204892378,38,1,1,0,0.00,1.00,OK
1789434778,204881609,56,0,0,0,0.00,1.51,OK
1789434779,204875944,39,1,1,0,0.00,1.25,OK
1789434780,204880019,36,0,0,0,0.00,0.50,OK
1789434781,204893468,34,0,0,0,0.00,0.50,OK
1789434782,204905928,29,0,0,0,0.00,0.25,OK
1789434783,204936253,16,0,0,0,0.00,0.50,OK
1789434784,204877671,37,0,1,0,0.00,1.00,OK
